Date of Crash,Crash Severity,Crashes
01/01/2014,Possible/Unknown,22
01/01/2014,Minor Injury,11
01/01/2014,Property Damage Only,186
01/01/2014,Major Injury,6
01/02/2014,Property Damage Only,142
01/02/2014,Major Injury,3
01/02/2014,Possible/Unknown,30
01/02/2014,Minor Injury,13
01/02/2014,Fatal,1
01/03/2014,Property Damage Only,137
01/03/2014,Minor Injury,12
01/03/2014,Major Injury,2
01/03/2014,Possible/Unknown,36
01/04/2014,Major Injury,1
01/04/2014,Property Damage Only,95
01/04/2014,Possible/Unknown,15
01/04/2014,Minor Injury,15
01/05/2014,Possible/Unknown,8
01/05/2014,Minor Injury,2
01/05/2014,Major Injury,1
01/05/2014,Property Damage Only,49
01/06/2014,Major Injury,1
01/06/2014,Possible/Unknown,7
01/06/2014,Minor Injury,3
01/06/2014,Property Damage Only,65
01/07/2014,Possible/Unknown,20
01/07/2014,Major Injury,1
01/07/2014,Property Damage Only,110
01/07/2014,Minor Injury,9
01/08/2014,Property Damage Only,86
01/08/2014,Major Injury,2
01/08/2014,Possible/Unknown,21
01/08/2014,Minor Injury,10
01/09/2014,Minor Injury,9
01/09/2014,Possible/Unknown,24
01/09/2014,Property Damage Only,108
01/09/2014,Major Injury,1
01/09/2014,Fatal,1
01/10/2014,Major Injury,5
01/10/2014,Minor Injury,26
01/10/2014,Property Damage Only,233
01/10/2014,Fatal,4
01/10/2014,Possible/Unknown,45
01/11/2014,Property Damage Only,65
01/11/2014,Minor Injury,6
01/11/2014,Fatal,2
01/11/2014,Major Injury,5
01/11/2014,Possible/Unknown,24
01/12/2014,Minor Injury,10
01/12/2014,Major Injury,2
01/12/2014,Property Damage Only,71
01/12/2014,Possible/Unknown,15
01/13/2014,Minor Injury,7
01/13/2014,Major Injury,4
01/13/2014,Property Damage Only,79
01/13/2014,Possible/Unknown,13
01/14/2014,Fatal,1
01/14/2014,Possible/Unknown,29
01/14/2014,Major Injury,5
01/14/2014,Minor Injury,12
01/14/2014,Property Damage Only,138
01/15/2014,Possible/Unknown,11
01/15/2014,Major Injury,2
01/15/2014,Minor Injury,6
01/15/2014,Property Damage Only,83
01/16/2014,Major Injury,4
01/16/2014,Minor Injury,30
01/16/2014,Fatal,1
01/16/2014,Property Damage Only,215
01/16/2014,Possible/Unknown,36
01/17/2014,Major Injury,1
01/17/2014,Possible/Unknown,27
01/17/2014,Fatal,1
01/17/2014,Property Damage Only,137
01/17/2014,Minor Injury,12
01/18/2014,Major Injury,6
01/18/2014,Possible/Unknown,25
01/18/2014,Property Damage Only,156
01/18/2014,Fatal,1
01/18/2014,Minor Injury,22
01/19/2014,Major Injury,4
01/19/2014,Fatal,1
01/19/2014,Minor Injury,10
01/19/2014,Property Damage Only,75
01/19/2014,Possible/Unknown,12
01/20/2014,Major Injury,10
01/20/2014,Property Damage Only,201
01/20/2014,Minor Injury,22
01/20/2014,Possible/Unknown,31
01/21/2014,Property Damage Only,247
01/21/2014,Minor Injury,13
01/21/2014,Possible/Unknown,48
01/21/2014,Major Injury,3
01/21/2014,Fatal,1
01/22/2014,Property Damage Only,119
01/22/2014,Fatal,1
01/22/2014,Possible/Unknown,23
01/22/2014,Minor Injury,9
01/23/2014,Property Damage Only,96
01/23/2014,Minor Injury,8
01/23/2014,Possible/Unknown,22
01/24/2014,Possible/Unknown,23
01/24/2014,Fatal,1
01/24/2014,Major Injury,6
01/24/2014,Minor Injury,13
01/24/2014,Property Damage Only,111
01/25/2014,Minor Injury,13
01/25/2014,Possible/Unknown,22
01/25/2014,Major Injury,2
01/25/2014,Fatal,2
01/25/2014,Property Damage Only,74
01/26/2014,Minor Injury,10
01/26/2014,Major Injury,3
01/26/2014,Possible/Unknown,19
01/26/2014,Property Damage Only,83
01/27/2014,Possible/Unknown,25
01/27/2014,Major Injury,3
01/27/2014,Minor Injury,7
01/27/2014,Property Damage Only,82
01/27/2014,Fatal,1
01/28/2014,Major Injury,3
01/28/2014,Property Damage Only,100
01/28/2014,Possible/Unknown,20
01/28/2014,Minor Injury,10
01/29/2014,Minor Injury,12
01/29/2014,Property Damage Only,102
01/29/2014,Possible/Unknown,24
01/29/2014,Major Injury,1
01/30/2014,Minor Injury,13
01/30/2014,Property Damage Only,138
01/30/2014,Possible/Unknown,25
01/30/2014,Major Injury,4
01/31/2014,Property Damage Only,110
01/31/2014,Minor Injury,10
01/31/2014,Major Injury,3
01/31/2014,Possible/Unknown,20
02/01/2014,Fatal,3
02/01/2014,Possible/Unknown,26
02/01/2014,Major Injury,6
02/01/2014,Property Damage Only,188
02/01/2014,Minor Injury,14
02/02/2014,Fatal,1
02/02/2014,Possible/Unknown,15
02/02/2014,Property Damage Only,72
02/02/2014,Minor Injury,7
02/03/2014,Possible/Unknown,19
02/03/2014,Property Damage Only,115
02/03/2014,Minor Injury,11
02/03/2014,Major Injury,2
02/04/2014,Major Injury,3
02/04/2014,Fatal,1
02/04/2014,Possible/Unknown,31
02/04/2014,Property Damage Only,210
02/04/2014,Minor Injury,23
02/05/2014,Major Injury,2
02/05/2014,Property Damage Only,243
02/05/2014,Minor Injury,12
02/05/2014,Possible/Unknown,38
02/06/2014,Major Injury,2
02/06/2014,Minor Injury,8
02/06/2014,Property Damage Only,203
02/06/2014,Possible/Unknown,25
02/07/2014,Minor Injury,11
02/07/2014,Property Damage Only,179
02/07/2014,Major Injury,2
02/07/2014,Possible/Unknown,39
02/08/2014,Possible/Unknown,43
02/08/2014,Minor Injury,19
02/08/2014,Major Injury,5
02/08/2014,Property Damage Only,249
02/09/2014,Major Injury,3
02/09/2014,Minor Injury,4
02/09/2014,Possible/Unknown,14
02/09/2014,Property Damage Only,88
