Geography Id,Type,Name,Variable,Variable Description,Data Collection Period,Data Collection End Date,Sex,Age,Educational Attainment,HS Diploma,College Degree,Population Estimate,Change Rate,Location
0500000US19063,county,"Emmet County, Iowa",B15001_009E,Male - 18 to 24 years - Bachelor's degree,2010-2014,12/31/2014,Male,18 to 24 years,Bachelors Degree,Yes,Yes,26,,POINT (-94.66937 43.377984),0500000US19063-2014-B15001_009E
0500000US19069,county,"Franklin County, Iowa",B15001_021E,Male - 35 to 44 years - 9th to 12th grade no diploma,2008-2012,12/31/2012,Male,35 to 44 years,9th to 12th Grade - No Diploma,No,No,86,,POINT (-93.271425 42.736549),0500000US19069-2012-B15001_021E
0500000US19175,county,"Union County, Iowa",B15001_034E,Male - 45 to 64 years - Graduate or professional degree,2008-2012,12/31/2012,Male,45 to 64 years,Graduate or Professional Degree,Yes,Yes,87,,POINT (-94.245091 41.02855),0500000US19175-2012-B15001_034E
0500000US19123,county,"Mahaska County, Iowa",B15001_006E,Male - 18 to 24 years - High school graduate (includes equivalency),2010-2014,12/31/2014,Male,18 to 24 years,High School Diploma or Equivalent,Yes,No,310,,POINT (-92.636366 41.330797),0500000US19123-2014-B15001_006E
0500000US19021,county,"Buena Vista County, Iowa",B15001_003E,Male - 18 to 24 years,2010-2014,12/31/2014,Male,18 to 24 years,Any,NA,NA,1188,,POINT (-95.141432 42.741522),0500000US19021-2014-B15001_003E
0500000US19141,county,"O'Brien County, Iowa",B15001_034E,Male - 45 to 64 years - Graduate or professional degree,2008-2012,12/31/2012,Male,45 to 64 years,Graduate or Professional Degree,Yes,Yes,116,,POINT (-95.625624 43.083746),0500000US19141-2012-B15001_034E
0500000US19059,county,"Dickinson County, Iowa",B15001_002E,Male,2008-2012,12/31/2012,Male,All,Any,NA,NA,6712,,POINT (-95.196057 43.389611),0500000US19059-2012-B15001_002E
0500000US19011,county,"Benton County, Iowa",B15001_018E,Male - 25 to 34 years - Graduate or professional degree,2011-2015,12/31/2015,Male,25 to 34 years,Graduate or Professional Degree,Yes,Yes,66,,POINT (-92.05763 42.092547),0500000US19011-2015-B15001_018E
0500000US19029,county,"Cass County, Iowa",B15001_024E,Male - 35 to 44 years - Associate's degree,2008-2012,12/31/2012,Male,35 to 44 years,Associates Degree,Yes,Yes,70,,POINT (-94.933302 41.333824),0500000US19029-2012-B15001_024E
0500000US19069,county,"Franklin County, Iowa",B15001_012E,Male - 25 to 34 years - Less than 9th grade,2010-2014,12/31/2014,Male,25 to 34 years,Less than 9th Grade,No,No,40,,POINT (-93.271425 42.736549),0500000US19069-2014-B15001_012E
0500000US19087,county,"Henry County, Iowa",B15001_003E,Male - 18 to 24 years,2010-2014,12/31/2014,Male,18 to 24 years,Any,NA,NA,1083,,POINT (-91.547259 40.984802),0500000US19087-2014-B15001_003E
0500000US19137,county,"Montgomery County, Iowa",B15001_010E,Male - 18 to 24 years - Graduate or professional degree,2009-2013,12/31/2013,Male,18 to 24 years,Graduate or Professional Degree,Yes,Yes,0,,POINT (-95.15779 41.021735),0500000US19137-2013-B15001_010E
0500000US19077,county,"Guthrie County, Iowa",B15001_020E,Male - 35 to 44 years - Less than 9th grade,2009-2013,12/31/2013,Male,35 to 44 years,Less than 9th Grade,No,No,40,,POINT (-94.501272 41.683573),0500000US19077-2013-B15001_020E
0500000US19017,county,"Bremer County, Iowa",B15001_040E,Male - 65 years and over - Associate's degree,2009-2013,12/31/2013,Male,65 years and over,Associates Degree,Yes,Yes,62,,POINT (-92.327356 42.780895),0500000US19017-2013-B15001_040E
0500000US19091,county,"Humboldt County, Iowa",B15001_035E,Male - 65 years and over,2008-2012,12/31/2012,Male,65 years and over,Any,NA,NA,876,,POINT (-94.202775 42.782221),0500000US19091-2012-B15001_035E
0500000US19113,county,"Linn County, Iowa",B15001_018E,Male - 25 to 34 years - Graduate or professional degree,2008-2012,12/31/2012,Male,25 to 34 years,Graduate or Professional Degree,Yes,Yes,881,,POINT (-91.597674 42.077951),0500000US19113-2012-B15001_018E
0500000US19145,county,"Page County, Iowa",B15001_017E,Male - 25 to 34 years - Bachelor's degree,2011-2015,12/31/2015,Male,25 to 34 years,Bachelors Degree,Yes,Yes,158,,POINT (-95.14429 40.73909),0500000US19145-2015-B15001_017E
0500000US19173,county,"Taylor County, Iowa",B15001_004E,Male - 18 to 24 years - Less than 9th grade,2010-2014,12/31/2014,Male,18 to 24 years,Less than 9th Grade,No,No,2,,POINT (-94.697108 40.737949),0500000US19173-2014-B15001_004E
0500000US19003,county,"Adams County, Iowa",B15001_002E,Male,2009-2013,12/31/2013,Male,All,Any,NA,NA,1538,,POINT (-94.696906 41.021656),0500000US19003-2013-B15001_002E
0500000US19087,county,"Henry County, Iowa",B15001_034E,Male - 45 to 64 years - Graduate or professional degree,2008-2012,12/31/2012,Male,45 to 64 years,Graduate or Professional Degree,Yes,Yes,148,,POINT (-91.547259 40.984802),0500000US19087-2012-B15001_034E
0500000US19185,county,"Wayne County, Iowa",B15001_015E,Male - 25 to 34 years - Some college no degree,2010-2014,12/31/2014,Male,25 to 34 years,Some College - No Degree,Yes,No,91,,POINT (-93.332613 40.739983),0500000US19185-2014-B15001_015E
0500000US19171,county,"Tama County, Iowa",B15001_009E,Male - 18 to 24 years - Bachelor's degree,2010-2014,12/31/2014,Male,18 to 24 years,Bachelors Degree,Yes,Yes,37,,POINT (-92.529411 42.074848),0500000US19171-2014-B15001_009E
0500000US19167,county,"Sioux County, Iowa",B15001_025E,Male - 35 to 44 years - Bachelor's degree,2008-2012,12/31/2012,Male,35 to 44 years,Bachelors Degree,Yes,Yes,296,,POINT (-96.17801 43.082646),0500000US19167-2012-B15001_025E
0500000US19159,county,"Ringgold County, Iowa",B15001_028E,Male - 45 to 64 years - Less than 9th grade,2009-2013,12/31/2013,Male,45 to 64 years,Less than 9th Grade,No,No,44,,POINT (-94.244251 40.735334),0500000US19159-2013-B15001_028E
0500000US19133,county,"Monona County, Iowa",B15001_011E,Male - 25 to 34 years,2008-2012,12/31/2012,Male,25 to 34 years,Any,NA,NA,431,,POINT (-95.956566 42.049432),0500000US19133-2012-B15001_011E
0500000US19109,county,"Kossuth County, Iowa",B15001_040E,Male - 65 years and over - Associate's degree,2008-2012,12/31/2012,Male,65 years and over,Associates Degree,Yes,Yes,50,,POINT (-94.213983 43.212478),0500000US19109-2012-B15001_040E
0500000US19053,county,"Decatur County, Iowa",B15001_004E,Male - 18 to 24 years - Less than 9th grade,2008-2012,12/31/2012,Male,18 to 24 years,Less than 9th Grade,No,No,1,,POINT (-93.78458 40.736379),0500000US19053-2012-B15001_004E
0500000US19089,county,"Howard County, Iowa",B15001_001E,Total,2012-2016,12/31/2016,Both,All,Any,NA,NA,7070,,POINT (-92.321908 43.365312),0500000US19089-2016-B15001_001E
